controller,subadress,timestamp,data,workpiece_gripped
0,9,1566917021898,948.718,0
0,9,1566917022899,948.8007,0
0,9,1566917023897,948.6972,0
0,9,1566917024896,948.7991,0
0,9,1566917025895,948.7367,0
0,9,1566917026894,948.8027,0
0,9,1566917027893,948.6696,0
0,9,1566917028890,969.3167,0
0,9,1566917029887,662.161,1
0,9,1566917030887,619.7839,1
0,9,1566917031887,610.1971,1
0,9,1566917032886,609.2375,1
0,9,1566917033885,609.7073,1
0,9,1566917034884,610.7424,1
0,9,1566917035882,611.9528,1
0,9,1566917036881,613.236,1
0,9,1566917037879,614.5656,1
0,9,1566917038879,615.7129,1
0,9,1566917039876,617.0444,1
0,9,1566917040876,618.1024,1
0,9,1566917041874,619.3532,1
0,9,1566917042872,620.4211,1
0,9,1566917043869,621.5844,1
0,9,1566917044867,622.6304,1
0,9,1566917045867,623.6725,1
0,9,1566917046864,624.8664,1
0,9,1566917047864,625.8796,1
0,9,1566917048861,626.957,1
0,9,1566917049861,637.6617,0
0,9,1566917050860,948.7589,0
0,9,1566917051858,948.6796,0
0,9,1566917052857,948.7115,0
0,9,1566917053855,948.6241,0
0,9,1566917054854,948.6462,0
0,9,1566917055852,948.7002,0
0,9,1566917056855,948.7513,0
0,9,1566917057851,948.7509,0
0,9,1566917058850,948.7843,0
0,9,1566917059849,948.7755,0
0,9,1566917060847,948.7488,0
0,9,1566917061847,948.7022,0
0,9,1566917062844,948.739,0
0,9,1566917063844,948.6581,0
0,9,1566917064842,948.713,0
0,9,1566917065841,948.7755,0
0,9,1566917066840,948.7422,0
0,9,1566917067843,948.769,0
0,9,1566917068838,948.7626,0
0,9,1566917069835,948.7795,0
0,9,1566917070835,948.7012,0
0,9,1566917071833,948.6995,0
0,9,1566917072832,948.6342,0
0,9,1566917073830,948.731,0
0,9,1566917074831,948.7114,0
0,9,1566917075829,948.7125,0
0,9,1566917076827,948.679,0
0,9,1566917077826,948.7417,0
0,9,1566917078824,948.7782,0
0,9,1566917079823,948.8143,0
0,9,1566917080821,948.7479,0
0,9,1566917081820,948.6788,0
0,9,1566917082823,948.8187,0
0,9,1566917083818,948.7449,0
0,9,1566917084817,948.7418,0
0,9,1566917085815,948.6953,0
0,9,1566917086814,948.6773,0
0,9,1566917087813,948.7599,0
0,9,1566917088812,948.8298,0
0,9,1566917089811,948.7447,0
0,9,1566917090810,948.6931,0
0,9,1566917091808,948.7968,0
0,9,1566917092808,948.7692,0
0,9,1566917093807,948.705,0
0,9,1566917094805,948.7036,0
0,9,1566917095804,948.7285,0
0,9,1566917096802,821.7034,1
0,9,1566917097801,634.2139,1
0,9,1566917098800,613.7088,1
0,9,1566917099799,609.2464,1
0,9,1566917100798,609.129,1
0,9,1566917101797,610.0807,1
0,9,1566917102796,611.1501,1
0,9,1566917103794,612.3918,1
0,9,1566917104793,613.5371,1
0,9,1566917105791,614.6965,1
0,9,1566917106790,615.7816,1
0,9,1566917107789,616.9347,1
0,9,1566917108788,618.0331,1
0,9,1566917109787,619.0618,1
0,9,1566917110785,620.0712,1
0,9,1566917111784,621.0817,1
0,9,1566917112782,622.0854,1
0,9,1566917113782,623.0881,1
0,9,1566917114779,624.0834,1
0,9,1566917115779,625.0514,1
0,9,1566917116778,626.0358,1
0,9,1566917117775,626.973,1
0,9,1566917118775,914.2438,0
0,9,1566917119779,948.6362,0
0,9,1566917120773,948.7144,0
0,9,1566917121771,948.6641,0
0,9,1566917122770,948.7482,0
0,9,1566917123768,948.7147,0
0,9,1566917124769,948.7974,0
0,9,1566917125767,948.7994,0
0,9,1566917126765,948.731,0
0,9,1566917127763,948.7167,0
0,9,1566917128762,948.7546,0
0,9,1566917129763,948.8463,0
0,9,1566917130759,948.7223,0
0,9,1566917131757,948.7883,0
0,9,1566917132756,948.7988,0
0,9,1566917133756,948.6737,0
0,9,1566917134755,948.7324,0
0,9,1566917135754,948.7546,0
0,9,1566917136751,948.6933,0
0,9,1566917137748,948.79,0
0,9,1566917138749,948.6462,0
0,9,1566917139748,948.6301,0
0,9,1566917140747,948.7653,0
0,9,1566917141745,948.7455,0
0,9,1566917142744,948.8488,0
0,9,1566917143743,948.7577,0
0,9,1566917144740,948.764,0
0,9,1566917145739,948.6552,0
0,9,1566917146738,948.7447,0
0,9,1566917147736,948.7387,0
0,9,1566917148737,948.7472,0
0,9,1566917149735,948.7869,0
0,9,1566917150733,948.837,0
0,9,1566917151731,948.7721,0
0,9,1566917152730,948.7559,0
0,9,1566917153728,948.7299,0
0,9,1566917154727,948.7087,0
0,9,1566917155725,948.6921,0
0,9,1566917156724,948.6841,0
0,9,1566917157724,948.712,0
0,9,1566917158722,948.5653,0
0,9,1566917159720,948.7262,0
0,9,1566917160718,948.7335,0
0,9,1566917161716,948.686,0
0,9,1566917162716,948.6746,0
0,9,1566917163714,948.7144,0
0,9,1566917164714,948.6733,0
0,9,1566917165713,956.7721,0
0,9,1566917166710,676.09,1
0,9,1566917167710,629.7006,1
0,9,1566917168708,618.0132,1
0,9,1566917169706,616.3711,1
0,9,1566917170704,618.998,1
0,9,1566917171704,622.0703,1
0,9,1566917172702,625.397,1
0,9,1566917173701,628.5448,1
0,9,1566917174702,632.0204,1
0,9,1566917175700,635.3544,1
0,9,1566917176698,638.7333,1
0,9,1566917177696,642.0445,1
0,9,1566917178693,645.1581,1
0,9,1566917179694,647.6111,1
0,9,1566917180692,650.1204,1
0,9,1566917181692,652.9274,1
0,9,1566917182690,655.9304,1
0,9,1566917183688,658.9547,1
0,9,1566917184688,661.9648,1
0,9,1566917185685,665.1303,1
0,9,1566917186686,668.3892,1
0,9,1566917187683,671.5781,1
0,9,1566917188682,676.5139,1
0,9,1566917189680,962.2867,0
0,9,1566917190678,948.6526,0
0,9,1566917191677,948.726,0
0,9,1566917192676,948.7164,0
0,9,1566917193675,948.6788,0
0,9,1566917194672,948.7082,0
0,9,1566917195673,948.8497,0
0,9,1566917196671,948.705,0
0,9,1566917197670,948.7584,0
0,9,1566917198671,948.6646,0
0,9,1566917199668,948.7335,0
0,9,1566917200668,948.7137,0
0,9,1566917201665,948.6881,0
0,9,1566917202663,948.7131,0
0,9,1566917203662,948.7283,0
0,9,1566917204660,948.8143,0
0,9,1566917205661,948.7397,0
0,9,1566917206658,948.7194,0
0,9,1566917207657,948.7006,0
0,9,1566917208656,948.6543,0
0,9,1566917209655,948.6486,0
0,9,1566917210653,948.6607,0
0,9,1566917211652,948.6301,0
0,9,1566917212650,948.6877,0
0,9,1566917213649,948.8018,0
0,9,1566917214647,948.769,0
0,9,1566917215646,948.649,0
0,9,1566917216647,948.7109,0
0,9,1566917217645,948.7407,0
0,9,1566917218644,948.7872,0
0,9,1566917219641,948.7305,0
0,9,1566917220641,948.7198,0
0,9,1566917221639,948.7266,0
0,9,1566917222639,948.7751,0
0,9,1566917223637,948.6914,0
0,9,1566917224635,948.4116,0
0,9,1566917225633,948.5726,0
0,9,1566917226631,948.8166,0
0,9,1566917227630,948.6953,0
0,9,1566917228628,948.691,0
0,9,1566917229627,948.6703,0
0,9,1566917230626,948.6877,0
0,9,1566917231624,948.6473,0
0,9,1566917232623,948.7012,0
0,9,1566917233621,948.7177,0
0,9,1566917234620,958.049,0
0,9,1566917235618,658.7624,1
0,9,1566917236618,629.7974,1
0,9,1566917237617,629.9516,1
0,9,1566917238616,638.3113,1
0,9,1566917239615,648.5712,1
0,9,1566917240613,662.3301,1
0,9,1566917241612,675.0382,1
0,9,1566917242609,685.993,1
0,9,1566917243608,698.6555,1
0,9,1566917244606,711.3357,1
0,9,1566917245606,732.7906,1
0,9,1566917246604,764.2498,1
0,9,1566917247602,801.936,1
0,9,1566917248600,836.961,1
0,9,1566917249598,895.9734,1
0,9,1566917250597,948.743,1
0,9,1566917251596,948.7064,1
0,9,1566917252594,948.6959,1
0,9,1566917253594,948.7157,1
0,9,1566917254593,948.7275,1
0,9,1566917255590,948.646,1
0,9,1566917256590,948.7955,1
0,9,1566917257589,948.6824,1
0,9,1566917258587,948.7242,1
0,9,1566917259586,967.7637,0
0,9,1566917260585,948.6678,0
0,9,1566917261583,948.6851,0
0,9,1566917262582,948.8065,0
0,9,1566917263581,948.7427,0
0,9,1566917264580,948.7239,0
0,9,1566917265578,948.7262,0
0,9,1566917266577,948.7614,0
0,9,1566917267574,948.7462,0
0,9,1566917268573,948.7454,0
0,9,1566917269572,948.7324,0
0,9,1566917270571,948.7302,0
0,9,1566917271570,948.6912,0
0,9,1566917272568,948.6916,0
0,9,1566917273568,948.8606,0
0,9,1566917274565,948.7036,0
0,9,1566917275565,948.6935,0
0,9,1566917276564,948.8068,0
0,9,1566917277562,948.7577,0
0,9,1566917278561,948.6801,0
0,9,1566917279559,948.7698,0
0,9,1566917280558,948.6733,0
0,9,1566917281556,948.7452,0
0,9,1566917282556,948.7107,0
0,9,1566917283553,948.7505,0
0,9,1566917284553,948.7049,0
0,9,1566917285551,948.7185,0
0,9,1566917286550,948.736,0
0,9,1566917287549,948.6689,0
0,9,1566917288547,948.6082,0
0,9,1566917289546,948.6659,0
0,9,1566917290544,948.6173,0
0,9,1566917291543,948.6619,0
0,9,1566917292541,948.7283,0
0,9,1566917293540,948.7557,0
0,9,1566917294539,948.6918,0
0,9,1566917295538,948.7623,0
0,9,1566917296536,948.62,0
0,9,1566917297534,948.6466,0
0,9,1566917298532,948.845,0
0,9,1566917299531,948.6716,0
0,9,1566917300529,948.7252,0
0,9,1566917301528,948.763,0
0,9,1566917302527,948.7082,0
0,9,1566917303526,948.7593,0
